creation_date,data,track,work,sleep,self,app,measure,start,effect,experiment,project,help,people,amp,hrv,rate,health,device,change,user,test,heart,different,note,post,food,learn,new,result,oura
2020-01-01,1,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2020-01-02,1,4,10,0,7,1,0,3,0,0,5,1,1,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0
2020-01-03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,1,2,4,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2020-01-09,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
2020-01-11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-01-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2020-01-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,3,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
2020-01-17,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,0,3,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2020-01-26,7,0,3,0,0,1,15,0,14,9,0,0,1,8,0,4,0,0,2,0,6,1,4,0,5,4,4,3,1,0
2020-01-27,8,0,2,0,0,4,1,0,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,5,7,2,15,0,11,0,1,0,1,1,0,0,1,0,4,6,0,1,0,4,4,1,0,4,7,0,0,0,2
2020-01-29,6,10,1,4,10,1,0,2,0,0,1,1,0,4,0,3,1,2,2,0,0,0,1,0,3,1,0,5,2,0
2020-01-30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,10,1,1,0,5,2,7,1,5,10,0,1,1,0,0,0,0,0,2,0,0,0,0,0,6,1,1,1,0,0
2020-02-02,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0
2020-02-04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-02-09,5,3,4,0,2,0,3,2,12,9,0,1,0,2,1,0,0,0,0,0,3,0,1,0,2,4,2,3,2,0
2020-02-11,5,0,1,0,9,3,0,1,2,1,3,5,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
2020-02-12,11,0,4,7,10,1,1,5,5,0,3,1,3,7,5,6,0,0,0,0,1,3,2,1,2,1,2,0,0,2
2020-02-13,3,5,2,3,1,4,1,3,0,3,0,3,2,5,3,5,1,2,1,0,0,2,0,0,2,0,0,2,0,4
2020-02-14,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-02-18,0,1,0,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,1,0,1,1
2020-02-19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,5,0,1,0,5,3,8,1,11,11,0,0,1,3,0,4,0,0,2,0,6,0,2,2,3,4,0,0,3,0
2020-02-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2020-02-24,9,3,5,0,4,1,4,1,9,1,3,2,3,1,0,3,0,0,1,1,0,0,2,0,0,1,1,1,0,0
2020-02-25,10,0,4,0,0,6,0,2,6,1,5,3,0,4,0,0,1,1,4,3,2,0,1,2,1,2,1,0,2,0
2020-02-26,5,2,3,0,3,2,8,2,2,5,1,3,0,2,0,3,0,0,3,0,4,0,3,2,2,2,3,2,0,1
2020-02-27,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0
2020-02-28,1,0,0,4,0,1,3,3,0,0,1,0,0,0,0,1,0,2,1,0,0,0,2,0,0,0,0,0,2,1
2020-02-29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-02,0,2,0,1,1,0,1,0,1,0,1,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0
2020-03-03,0,3,1,1,1,0,3,0,3,0,0,0,1,1,1,2,0,0,0,0,2,1,0,1,1,0,0,0,1,0
2020-03-04,4,3,3,8,1,3,3,0,2,0,0,0,0,5,0,2,0,0,0,2,1,1,0,2,2,1,0,0,3,1
2020-03-05,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,0,2,1,0,5,3,1,2,0,2,0,1,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0
2020-03-07,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0
2020-03-12,5,2,1,0,0,4,1,1,0,0,1,0,1,0,0,3,1,0,0,0,1,3,0,1,1,0,0,0,1,1
2020-03-13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,0
2020-03-14,9,4,5,2,3,9,4,0,0,0,0,0,0,2,0,1,0,4,1,0,3,1,3,0,1,1,0,1,0,1
2020-03-15,4,2,2,3,3,3,9,0,2,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0
2020-03-16,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-17,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2020-03-18,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-23,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
2020-03-24,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
2020-03-25,5,1,0,0,0,4,1,0,0,1,0,0,2,1,3,0,6,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-03-27,3,2,1,0,1,0,2,0,1,0,0,0,0,0,0,1,1,6,2,0,0,0,0,0,0,1,0,0,0,3
2020-03-29,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-02,1,0,2,3,1,3,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2020-04-03,0,2,0,0,0,3,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,3,0,0,0,0,0,1,0,0
2020-04-06,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2020-04-07,4,1,1,2,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2020-04-08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-10,0,1,1,0,0,3,1,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-12,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-15,3,0,0,0,0,4,0,1,0,0,0,1,1,1,3,1,3,1,0,0,0,1,0,0,0,0,0,0,0,0
2020-04-16,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-17,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-21,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1
2020-04-24,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-25,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-04-29,3,0,0,0,3,4,2,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-04,1,2,0,0,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
2020-05-06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2020-05-08,1,2,1,0,2,10,0,0,0,0,0,2,5,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
2020-05-09,1,0,4,0,2,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-13,2,2,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-05-14,9,0,0,0,1,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,0
2020-05-15,1,7,6,0,7,1,0,3,1,7,10,2,0,1,0,1,0,1,2,1,0,0,1,2,2,0,4,1,1,0
2020-05-16,7,1,1,0,0,7,0,0,0,1,0,0,1,0,0,2,3,0,0,1,0,1,0,1,0,0,0,0,0,0
2020-05-17,0,5,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2020-05-18,6,0,2,0,1,5,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-19,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
2020-05-20,9,13,7,4,4,14,1,4,2,3,1,2,10,1,0,1,0,0,2,2,4,0,3,1,0,0,5,2,2,1
2020-05-21,3,9,1,1,2,2,0,1,0,2,3,5,3,2,0,1,1,1,1,1,1,0,0,3,2,4,1,0,0,0
2020-05-22,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-23,1,2,0,2,3,1,1,1,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2020-05-24,21,2,0,4,1,8,0,1,0,0,0,3,1,1,0,1,1,0,2,1,0,0,2,1,1,0,0,0,0,0
2020-05-25,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-27,10,7,6,1,4,2,0,3,0,3,7,3,4,0,1,1,2,4,0,1,0,2,1,0,2,0,1,0,4,0
2020-05-28,13,4,1,1,1,4,0,1,0,1,3,1,1,1,1,6,1,9,0,6,1,2,1,0,0,0,2,1,0,1
2020-05-29,12,2,0,1,1,5,0,0,0,0,0,0,2,3,0,2,0,3,0,2,0,0,2,0,0,1,0,0,0,0
2020-05-30,3,8,1,0,2,2,0,1,1,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2020-05-31,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0
2020-06-01,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-02,7,4,2,0,0,9,0,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,6,1,0,0,1,0,0,0
2020-06-03,4,10,1,4,0,7,5,0,0,0,0,1,0,6,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-06-04,22,14,12,1,3,24,0,0,0,0,0,0,0,1,0,1,1,0,4,0,0,0,6,1,0,4,0,6,1,0
2020-06-05,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0
2020-06-06,1,7,1,1,2,4,1,1,2,3,0,1,0,2,0,0,0,0,1,0,2,0,0,2,0,3,3,0,0,0
2020-06-07,6,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1
2020-06-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-09,0,1,4,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2020-06-10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2020-06-11,9,2,1,1,0,1,0,0,0,0,0,2,1,0,0,1,0,0,1,1,2,0,4,0,0,3,0,0,0,0
2020-06-12,3,0,0,2,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,0
2020-06-13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-14,4,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-15,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,1,1,0,1,0,0
2020-06-16,3,5,1,0,6,0,0,1,0,1,2,1,1,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0
2020-06-17,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
2020-06-19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-06-20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-21,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-06-22,1,7,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
2020-06-23,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
2020-06-24,3,7,4,0,1,3,0,1,0,0,3,0,2,3,0,2,0,1,0,3,0,0,5,3,0,0,0,0,0,1
2020-06-25,13,2,2,0,5,0,0,2,0,0,4,0,1,0,0,0,2,2,0,0,0,0,1,4,1,0,2,0,0,0
2020-06-26,10,12,0,0,6,5,0,2,0,0,2,1,0,1,0,1,0,0,1,1,0,0,1,0,7,0,0,2,0,0
2020-06-27,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-29,4,2,1,7,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1
2020-06-30,4,4,1,2,2,6,3,0,1,1,0,1,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,1,0,0
2020-07-01,3,9,3,1,1,1,1,0,5,2,1,2,0,0,0,0,0,0,2,1,0,1,1,0,1,0,2,2,0,0
2020-07-02,7,7,4,2,4,0,1,2,0,2,2,0,1,4,0,2,0,2,0,1,0,1,0,0,1,0,0,1,0,0
2020-07-03,11,9,4,0,6,7,1,1,1,0,1,1,1,1,3,6,2,0,1,0,0,1,1,0,1,0,0,1,2,3
2020-07-04,4,1,3,1,1,3,1,0,2,7,1,1,0,3,0,0,0,0,2,0,3,0,0,0,0,0,0,0,1,0
2020-07-05,0,0,0,0,0,0,1,0,4,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2020-07-06,2,2,1,0,0,2,0,1,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0
2020-07-07,1,0,2,1,0,2,0,0,0,0,0,4,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0
2020-07-08,2,5,2,1,0,1,3,0,2,1,0,1,0,3,1,10,2,4,1,0,0,6,0,0,0,0,0,0,1,1
2020-07-09,11,9,6,0,1,6,6,3,11,1,1,0,1,8,0,3,0,0,1,0,0,0,3,2,0,2,0,2,2,0
2020-07-10,8,8,1,0,1,1,2,0,3,1,1,2,1,0,0,1,0,0,4,2,1,0,1,0,1,3,1,0,0,1
2020-07-12,9,2,3,0,1,2,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,1,0,0
2020-07-13,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-14,12,8,2,2,1,0,2,2,0,1,1,3,1,1,0,2,0,0,0,0,0,0,0,1,0,0,9,1,2,0
2020-07-15,2,2,8,2,1,5,0,3,1,0,0,2,0,1,0,8,0,0,0,0,1,6,0,34,1,0,0,2,0,0
2020-07-16,1,2,6,1,0,3,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,5,3,0,0
2020-07-17,26,3,0,6,18,7,0,6,0,0,0,0,0,6,0,2,0,0,0,4,1,0,0,1,0,0,1,2,0,0
2020-07-19,0,0,5,0,0,3,0,4,0,1,2,2,0,0,0,1,0,0,0,0,0,1,2,2,0,0,4,0,0,0
2020-07-20,1,3,0,4,7,0,0,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2020-07-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2020-07-22,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0
2020-07-23,15,5,1,1,1,12,0,1,0,0,1,2,0,2,0,1,0,0,3,2,0,0,2,2,1,3,0,1,2,0
2020-07-24,13,3,3,1,4,7,0,0,0,0,0,3,11,0,0,0,0,0,4,2,0,0,2,0,2,0,1,1,0,0
2020-07-25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2020-07-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-28,7,8,2,0,0,7,1,1,0,0,0,3,1,2,0,3,6,2,0,0,2,1,2,0,0,0,0,0,1,0
2020-07-29,3,1,0,0,0,3,1,2,3,0,0,0,1,0,1,4,0,0,5,0,0,3,3,0,1,0,1,3,3,0
2020-07-30,12,1,0,0,0,5,0,0,0,0,1,0,0,6,0,1,0,2,5,1,1,0,1,0,3,0,0,0,0,0
2020-07-31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,1,1
2020-08-02,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-03,4,1,2,0,0,7,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
2020-08-04,0,0,0,2,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2020-08-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-08,6,4,6,2,0,5,3,2,0,0,0,0,0,0,0,9,0,0,1,0,0,9,2,0,1,0,0,0,0,0
2020-08-09,9,11,0,3,0,6,0,0,1,0,3,1,1,2,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,1
2020-08-10,0,1,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2020-08-11,10,4,1,0,8,10,1,1,0,3,0,2,0,0,0,1,1,0,0,0,0,0,1,1,2,3,3,0,0,0
2020-08-12,10,16,6,2,5,5,0,1,2,11,1,2,2,10,0,0,2,0,1,0,0,0,2,0,0,5,3,6,3,0
2020-08-13,9,5,2,0,2,3,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,0
2020-08-14,0,4,1,1,1,2,0,0,0,0,1,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1
2020-08-16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-17,19,14,2,2,8,5,1,3,1,0,3,0,0,2,0,0,0,0,3,1,1,0,0,0,0,0,2,2,0,0
2020-08-18,14,8,14,4,3,11,4,5,0,0,2,1,2,2,0,2,1,1,0,3,0,1,1,0,3,0,0,0,0,1
2020-08-19,1,1,2,0,0,3,0,0,0,0,0,3,1,0,0,2,0,0,0,3,0,0,0,1,2,1,0,3,0,1
2020-08-20,3,5,2,0,2,6,3,0,2,0,0,4,2,1,0,3,3,1,0,0,2,0,0,0,0,5,0,0,0,1
2020-08-21,4,4,1,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
